,E_Equipment Serial Number,E_OEM Nameplate SN
8341,GG192162,192162
8342,GG192412,192412
8343,GG192267,192267
8344,GG481380,481380
8345,GG878133,878133
8346,GG691092,691092
8347,GG691088,691088
8348,GG691042,691042
8349,GG691043,691043
8350,GG691040,691040
8351,GG691050,691050
8352,GG691052,691052
8353,GG691247,691247
8354,GG691089,691089
8355,GG691078,691078
8356,GG691034,691034
8357,GG691094,691094
8358,GG691044,691044
8359,GG691087,691087
8360,GG691911,691911
8361,GG691041,691041
8362,GG691086,691086
8363,GG691077,691077
8364,GG691037,691037
8365,GG481633,481633
8366,G09157,G09157
8367,G09158,G09158
8368,G09154,G09154
8369,G09160,G09160
8370,G09163,G09163
8371,G09165,G09165
8372,G09166,G09166
8373,G09169,G09169
8374,G08487,G08487
8375,822946,7263872
8376,244776,244776
8377,822902,7266026
8378,809675,G06386
8379,225990,225990
8380,809674,G06146
8381,225960,225960
8382,822843,7265425
8383,298218,298218
8384,298217,298217
8385,822816,7263873
8386,244460,244460
8387,127725,127725
8388,802383,802383UK
8389,964991,X964991
8390,803357,803357UK
8391,809683,05454
8392,801753,801753UK
8393,809680,G06389
8394,809682,G06378
8395,807300,807300UK
8396,282392,282392
8397,226012,226012
8398,806233,806233UK
8399,244744,244744
8400,127686,127686
8401,97642,97642
8402,820326,7220373
8403,809677,G06379
8404,G09112,G09112
8405,127723,127723
8406,214448,214448
8407,245138,245138
8408,809681,G06390
8409,225971,225971
8410,809679,G06388
8411,245175,245175
8412,802380,802380UK
8413,809686,05457
8414,295685,295685
8415,808881,260190-1
8416,809676,G06268
8417,G08341,G08341
8418,809685,05456
8419,965111,965111
8420,97641,97641
8421,245173,245173
8422,809673,05817
8423,809672,05818
8424,809670,05820
8425,807301,807301UK
8426,809678,G06387
8427,803358,803358UK
8428,820597,7225262
8429,803356,803356UK
8430,G08282,G08282
8431,809671,05819
